Source,Site,Gender,Subtype,Case Count,Gene Count,Probe Count,FDR,Abs(FC) > 1.25,Abs(FC) > 2,Abs(FC) > 4,Abs(FC) > 1.25 (Prop),Abs(FC) > 2 (Prop),Abs(FC) > 4 (Prop),Abs(FC) > 1.25 (Pct),Abs(FC) > 2 (Pct),Abs(FC) > 4 (Pct)
METABRIC,BrCa,Female,HER2,240,18950,48803,0.01,1,0,0,< 0.001,0,0,< 0.1%,0%,0%
METABRIC,BrCa,Female,Basal,331,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
METABRIC,BrCa,Female,Normal,202,18950,48803,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,KidneyCa,All Cases,All Cases,532,18950,18950,0.01,4,0,0,< 0.001,0,0,< 0.1%,0%,0%
TCGA,KidneyCa,Female,All Cases,188,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
TCGA,KidneyCa,Male,All Cases,344,18950,18950,0.01,4,0,0,< 0.001,0,0,< 0.1%,0%,0%
TCGA,LungCa,All Cases,All Cases,495,18950,18950,0.01,251,14,0,0.013,< 0.001,0,1.3%,< 0.1%,0%
TCGA,LungCa,Female,All Cases,267,18950,18950,0.01,11,6,3,< 0.001,< 0.001,< 0.001,< 0.1%,< 0.1%,< 0.1%
TCGA,LungCa,Male,All Cases,228,18950,18950,0.01,15,3,0,< 0.001,< 0.001,0,< 0.1%,< 0.1%,0%
TCGA,ProstateCa,Male,All Cases,496,18950,18950,0.01,9,1,0,< 0.001,< 0.001,0,< 0.1%,< 0.1%,0%
TCGA,ThyroidCa,All Cases,All Cases,500,18950,18950,0.01,132,5,0,0.007,< 0.001,0,0.7%,< 0.1%,0%
TCGA,ThyroidCa,Female,All Cases,365,18950,18950,0.01,68,8,1,0.004,< 0.001,< 0.001,0.4%,< 0.1%,< 0.1%
TCGA,ThyroidCa,Male,All Cases,135,18950,18950,0.01,0,0,0,0,0,0,0%,0%,0%
