GeneName,IHCName,refseqID
CDKN2C,p18INK4C,NM_001262
CDKN2C,p18INK4C,NM_078626
CDKN2D,p19INK4D,NM_001800
CDKN2D,p19INK4D,NM_079421
CHUK,IKK-alpha/IKK1,NM_001278
CIITA,CIITA,NM_000246
CIITA,CIITA,NM_001286402
CIITA,CIITA,NM_001286403
CLDN3,CLDN3,NM_001306
CREB1,CREB1,NM_004379
CREB1,CREB1,NM_134442
CRYAB,cryab,NM_001885
CRYAB,cryab,NM_001289807
CRYAB,cryab,NM_001289808
CTNNB1,Beta-catenin,NM_001098209
CTNNB1,Beta-catenin,NM_001098210
CTNNB1,Beta-catenin,NM_001904
DMAP1,DMAP1,NM_001034023
DMAP1,DMAP1,NM_001034024
DMAP1,DMAP1,NM_019100
DNMT1,DNMT1,NM_001130823
DNMT1,DNMT1,NM_001379
DNMT3A,DNMT3A,NM_022552
DNMT3A,DNMT3A,NM_153759
DNMT3A,DNMT3A,NM_175629
DNMT3A,DNMT3A,NM_175630
DNMT3B,DNMT3B,NM_001207055
DNMT3B,DNMT3B,NM_001207056
DNMT3B,DNMT3B,NM_006892
DNMT3B,DNMT3B,NM_175848
DNMT3B,DNMT3B,NM_175849
DNMT3B,DNMT3B,NM_175850
DVL1,DVL,NM_004421
DVL1,DVL,NM_181870
DVL1,DVL,NM_182779
E2F1,E2F1,NM_005225
E2F2,E2F2,NM_004091
E2F3,E2F3,NM_001243076
E2F3,E2F3,NM_001949
E2F4,E2F4,NM_001950
E2F5,E2F5,NM_001083588
E2F5,E2F5,NM_001083589
E2F5,E2F5,NM_001951
E2F6,E2F6,NM_001278275
E2F6,E2F6,NM_001278276
E2F6,E2F6,NM_001278277
E2F6,E2F6,NM_001278278
E2F6,E2F6,NM_198256
E2F6,E2F6,NM_212540
E2F6,E2F6,NM_198257
E2F6,E2F6,NM_198258
E2F6,E2F6,NM_198325
E2F7,E2F7,NM_203394
E2F8,E2F8,NM_001256371
E2F8,E2F8,NM_001256372
E2F8,E2F8,NM_024680
EED,EED,NM_003797
EED,EED,NM_152991
EGFR,egfr,NM_005228
EGFR,egfr,NM_201282
EGFR,egfr,NM_201283
EGFR,egfr,NM_201284
EGLN1,PHD2,NM_022051
ELAC2,ELAC2,NM_001165962
ELAC2,ELAC2,NM_018127
ELAC2,ELAC2,NM_173717
ELK1,ELK1,NM_001114123
ELK1,ELK1,NM_001257168
ELK1,ELK1,NM_005229
EP300,EP300,NM_001429
EPAS1,HIF2alpha,NM_001430
EPC1,EPC1,NM_001272004
EPC1,EPC1,NM_001272019
EPC1,EPC1,NM_001282391
EPC1,EPC1,NM_025209
EPC2,EPC2,NM_015630
EPHB4,EPHB4,NM_004444
ERBB2,HER2,NM_001005862
ERBB2,HER2,NM_001289936
ERBB2,HER2,NM_001289937
ERBB2,HER2,NM_001289938
ERBB2,HER2,NM_004448
ERBB3,HER3,NM_001005915
ERBB3,HER3,NM_001982
ERBB4,HER4,NM_001042599
ERBB4,HER4,NM_005235
ESR1,ER-alpha,NM_000125
ESR1,ER-alpha,NM_001122740
ESR1,ER-alpha,NM_001122741
ESR1,ER-alpha,NM_001122742
ESR1,ER-alpha,NM_001291230
ESR1,ER-alpha,NM_001291241
ESR2,ER-beta,NM_001040275
ESR2,ER-beta,NM_001214902
ESR2,ER-beta,NM_001214903
ESR2,ER-beta,NM_001271876
ESR2,ER-beta,NM_001271877
ESR2,ER-beta,NM_001437
ESR2,ER-beta,NM_001040276
EZH1,EZH1,NM_001991
EZH2,EZH2,NM_001203247
EZH2,EZH2,NM_001203248
EZH2,EZH2,NM_001203249
EZH2,EZH2,NM_004456
EZH2,EZH2,NM_152998
FOS,FOS,NM_005252
FOSL1,FOSL1,NM_005438
FOXA1,FoxA1,NM_004496
FOXC1,FoxC1,NM_001453
GATA3,gata3,NM_001002295
GATA3,gata3,NM_002051
GRB2,Grb2,NM_002086
GRB2,Grb2,NM_203506
GSK3B,GSK3B,NM_001146156
GSK3B,GSK3B,NM_002093
H3F3A,H3F3A,NM_002107
HDAC1,HDAC1,NM_004964
HDAC2,HDAC2,NM_001527
HES1,HES1,NM_005524
HEY1,HEY1,NM_001040708
HEY1,HEY1,NM_012258
HEY1,HEY1,NM_001282851
HIF1A,HIF1alpha,NM_001243084
HIF1A,HIF1alpha,NM_001530
HIF1A,HIF1alpha,NM_181054
HIF1AN,FIH1,NM_017902
HIF3A,HIF3alpha,NM_022462
HIF3A,HIF3alpha,NM_152794
HIF3A,HIF3alpha,NM_152795
HIF3A,HIF3alpha,NM_152796
HNF1A,TCF1,NM_000545
HNF1B,TCF2,NM_000458
HNF1B,TCF2,NM_001165923
HNF1B,TCF2,NM_006481
HOXC10,HOXC10,NM_017409
HRAS,H-ras,NM_001130442
HRAS,H-ras,NM_005343
HRAS,H-ras,NM_176795
HSPB1,HSP27,NM_001540
IGF1R,IGF1R,NM_000875
IGF1R,IGF1R,NM_152452
IGFBP2,IGFBP2,NM_000597
IKBKB,IKK-beta/IKK2,NM_001190720
IKBKB,IKK-beta/IKK2,NM_001242778
IKBKB,IKK-beta/IKK2,NM_001556
IKBKB,IKK-beta/IKK2,NM_001190721
IKBKB,IKK-beta/IKK2,NM_001190722
IKBKG,IKK-gamma/NEMO,NM_001099856
IKBKG,IKK-gamma/NEMO,NM_001099857
IKBKG,IKK-gamma/NEMO,NM_001145255
IKBKG,IKK-gamma/NEMO,NM_003639
IL2RA,IL2RA,NM_000417
IL6,IL-6,NM_000600
INPP4B,INPP4B,NM_001101669
INPP4B,INPP4B,NM_003866
JAG1,JAG1,NM_000214
JAK1,JAK1,NM_002227
JAK2,JAK2,NM_004972
JARID2,JARID2,NM_001267040
JARID2,JARID2,NM_004973
JUN,c-JUN,NM_002228
KDM2B,KDM2B/FBXL10,NM_001005366
KDM2B,KDM2B/FBXL10,NM_032590
KDM6A,KDM6A/UTX,NM_021140
KDM6B,KDM6B/JMJD3,NM_001080424
KIT,c-Kit,NM_001093772
KIT,c-Kit,NM_000222
KMT2C,MLL3,NM_170606
KMT2C,MLL3,NM_021230
KMT2D,MLL2,NM_003482
KRAS,K-ras,NM_004985
KRAS,K-ras,NM_033360
KRT5,CK5,NM_000424
L3MBTL1,L3MBTL1,NM_015478
L3MBTL1,L3MBTL1,NM_032107
L3MBTL2,L3MBTL2,NM_001003689
L3MBTL2,L3MBTL2,NM_031488
L3MBTL3,L3MBTL3,NM_001007102
L3MBTL3,L3MBTL3,NM_032438
L3MBTL4,L3MBTL4,NM_173464
LEF1,LEF1,NM_001130713
LEF1,LEF1,NM_001130714
LEF1,LEF1,NM_001166119
LEF1,LEF1,NM_016269
MAML,MAML,NM_014757
MAP2K1,MEK1,NM_002755
MAP3K1,MAP3K1,NM_005921
MAPK1,ERK2,NM_002745
MAPK1,ERK2,NM_138957
MAPK3,ERK1,NM_001040056
MAPK3,ERK1,NM_001109891
MAPK3,ERK1,NM_002746
MDM2,Mdm2,NM_001145337
MDM2,Mdm2,NM_001145339
MDM2,Mdm2,NM_001145340
MDM2,Mdm2,NM_001278462
MDM2,Mdm2,NM_002392
MDM2,Mdm2,NM_001145336
MDM2,Mdm2,NM_006878
MDM2,Mdm2,NM_006879
MDM2,Mdm2,NM_006880
MDM2,Mdm2,NM_006881
MDM2,Mdm2,NM_006882
MDM2,Mdm2,NM_032739
MKI67,Ki67,NM_001145966
MKI67,Ki67,NM_002417
WHSC1,WHSC1/MMSET,NM_001042424
WHSC1,WHSC1/MMSET,NM_007331
WHSC1,WHSC1/MMSET,NM_133330
WHSC1,WHSC1/MMSET,NM_133331
WHSC1,WHSC1/MMSET,NM_133334
WHSC1,WHSC1/MMSET,NM_133335
WHSC1,WHSC1/MMSET,NM_014919
WHSC1,WHSC1/MMSET,NM_133332
WHSC1,WHSC1/MMSET,NM_133333
WHSC1,WHSC1/MMSET,NM_133336
MTF2,PCL2/MTF2,NM_001164391
MTF2,PCL2/MTF2,NM_001164392
MTF2,PCL2/MTF2,NM_001164393
MTF2,PCL2/MTF2,NM_007358
MYC,c-MYC,NM_002467
NCOR1,NCOR1,NM_001190438
NCOR1,NCOR1,NM_001190440
NCOR1,NCOR1,NM_006311
NES,Nestin,NM_006617
NFKB1,NF-kappaB1,NM_001165412
NFKB1,NF-kappaB1,NM_003998
NFKB2,NF-kappaB2,NM_001077494
NFKB2,NF-kappaB2,NM_001261403
NFKB2,NF-kappaB2,NM_001288724
NFKB2,NF-kappaB2,NM_002502
NFKBIA,IkappaBalpha,NM_020529
NFKBIB,IkappaBbeta,NM_001243116
NFKBIB,IkappaBbeta,NM_002503
NFKBIB,IkappaBbeta,NM_001001716
NFKBIE,IkappaBepsilon,NM_004556
NOTCH1,NOTCH1,NM_017617
NOTCH2,NOTCH2,NM_001200001
NOTCH2,NOTCH2,NM_024408
NOTCH3,NOTCH3,NM_000435
NOTCH4,NOTCH4,NM_004557
NR4A2,NR4A2,NM_006186
NR4A2,NR4A2,NM_173171
NR4A2,NR4A2,NM_173172
NR4A2,NR4A2,NM_173173
NRAS,N-ras,NM_002524
PCGF1,PCGF1/NSPC1,NM_032673
PCGF2,PCGF2/MEL18,NM_007144
PCGF3,PCGF3,NM_006315
PCGF5,PCGF5,NM_001256549
PCGF5,PCGF5,NM_001257101
PCGF5,PCGF5,NM_032373
PCGF6,PCGF6/MBLR,NM_001011663
PCGF6,PCGF6/MBLR,NM_032154
PDGFRA,PDGFRA,NM_006206
PDGFRB,PDGFRB,NM_002609
PDPK1,PDPK1,NM_001261816
PDPK1,PDPK1,NM_002613
PDPK1,PDPK1,NM_031268
PEBP1,RKIP,NM_002567
PELP1,PELP1,NM_001278241
PELP1,PELP1,NM_014389
PGP,PGP,NM_001042371
PGR,PgR/pr,NM_000926
PGR,PgR/pr,NM_001202474
PGR,PgR/pr,NM_001271161
PGR,PgR/pr,NM_001271162
PHC1,PCH1/HPH1,NM_004426
PHC2,PHC2/HPH2,NM_004427
PHC2,PHC2/HPH2,NM_198040
PHC3,PCH3/HPH3,NM_024947
PHF1,PCL1/PHF1,NM_002636
PHF1,PCL1/PHF1,NM_024165
PHF19,PCL3/PHF19,NM_001009936
PHF19,PCL3/PHF19,NM_001286840
PHF19,PCL3/PHF19,NM_001286842
PHF19,PCL3/PHF19,NM_001286843
PHF19,PCL3/PHF19,NM_015651
PIK3CA,PI3K,NM_006218
PIP5K1C,PIP5K1C,NM_001195733
PIP5K1C,PIP5K1C,NM_012398
PLAU,PLAU,NM_001145031
PLAU,PLAU,NM_002658
PODXL,PODXL,NM_001018111
PODXL,PODXL,NM_005397
PPARG,PPARG,NM_005037
PPARG,PPARG,NM_015869
PPARG,PPARG,NM_138711
PPARG,PPARG,NM_138712
PTEN,PTEN,NM_000314
RAD51,RAD51,NM_001164269
RAD51,RAD51,NM_001164270
RAD51,RAD51,NM_002875
RAD51,RAD51,NM_133487
RAD51B,RAD51B,NM_002877
RAD51B,RAD51B,NM_133509
RAD51B,RAD51B,NM_133510
RAD51C,RAD51C,NM_002876
RAD51C,RAD51C,NM_058216
RAD51D,RAD51D,NM_001142571
RAD51D,RAD51D,NM_002878
RAD51D,RAD51D,NM_133629
RAD51D,RAD51D,NM_133627
RAD51D,RAD51D,NM_133628
RAD51D,RAD51D,NM_133630
RAF1,RAF1,NM_002880
RB1,RB,NM_000321
RBBP4,RbAp48,NM_001135255
RBBP4,RbAp48,NM_001135256
RBBP4,RbAp48,NM_005610
RBBP5,RbBp5,NM_001193272
RBBP5,RbBp5,NM_001193273
RBBP5,RbBp5,NM_005057
RBBP7,RbAp46,NM_001198719
RBBP7,RbAp46,NM_002893
REL,c-Rel,NM_002908
RELA,RelA,NM_001145138
RELA,RelA,NM_001243984
RELA,RelA,NM_001243985
RELA,RelA,NM_021975
RELB,RelB,NM_006509
RET,Ret,NM_020630
RET,Ret,NM_020975
RING1,RING1A,NM_002931
RNF2,RING1B,NM_007212
RUNX1,RUNX1,NM_001001890
RUNX1,RUNX1,NM_001122607
RUNX1,RUNX1,NM_001754
RUNX3,RUNX3,NM_001031680
RUNX3,RUNX3,NM_004350
RYBP,RYBP,NM_012234
SCMH1,SCMH1,NM_001031694
SCMH1,SCMH1,NM_001172218
SCMH1,SCMH1,NM_001172219
SCMH1,SCMH1,NM_001172220
SCMH1,SCMH1,NM_001172221
SCMH1,SCMH1,NM_001172222
SCMH1,SCMH1,NM_012236
SCML2,SCML2,NM_006089
SCML4,SCML4,NM_001286408
SCML4,SCML4,NM_001286409
SCML4,SCML4,NM_198081
SFMBT1,SFMBT1,NM_016329
SFMBT1,SFMBT1,NM_001005158
SFMBT1,SFMBT1,NM_001005159
SFMBT2,SFMBT2,NM_001018039
SFMBT2,SFMBT2,NM_001029880
SFPQ,PSF,NM_005066
SHC1,Shc,NM_001130040
SHC1,Shc,NM_001130041
SHC1,Shc,NM_001202859
SHC1,Shc,NM_003029
SHC1,Shc,NM_183001
SIRT1,Sirtuin 1,NM_001142498
SIRT1,Sirtuin 1,NM_012238
SKP2,Skp2,NM_001243120
SKP2,Skp2,NM_005983
SKP2,Skp2,NM_032637
SLC25A3,SLC25A3,NM_002635
SLC25A3,SLC25A3,NM_005888
SLC25A3,SLC25A3,NM_213611
SLC25A3,SLC25A3,NM_213612
SMAD1,SMAD1,NM_001003688
SMAD1,SMAD1,NM_005900
SMAD2,SMAD2,NM_001003652
SMAD2,SMAD2,NM_001135937
SMAD2,SMAD2,NM_005901
SMAD3,SMAD3,NM_001145102
SMAD3,SMAD3,NM_001145103
SMAD3,SMAD3,NM_001145104
SMAD3,SMAD3,NM_005902
SMAD4,SMAD4,NM_005359
SMAD5,SMAD5,NM_001001419
SMAD5,SMAD5,NM_001001420
SMAD5,SMAD5,NM_005903
SMAD6,SMAD6,NM_001142861
SMAD6,SMAD6,NM_005585
SMAD7,SMAD7,NM_001190821
SMAD7,SMAD7,NM_001190822
SMAD7,SMAD7,NM_001190823
SMAD7,SMAD7,NM_005904
SMAD9,SMAD9,NM_001127217
SMAD9,SMAD9,NM_005905
SOS1,SOS1,NM_005633
SOS2,SOS2,NM_006939
SP1,SP1,NM_001251825
SP1,SP1,NM_003109
SP1,SP1,NM_138473
SRC,SRC,NM_005417
SRC,SRC,NM_198291
STAT1,STAT1,NM_007315
STAT1,STAT1,NM_139266
STAT3,STAT3,NM_003150
STAT3,STAT3,NM_139276
STAT3,STAT3,NM_213662
STAT6,STAT6,NM_001178078
STAT6,STAT6,NM_001178079
STAT6,STAT6,NM_001178080
STAT6,STAT6,NM_001178081
STAT6,STAT6,NM_003153
SUZ12,SUZ12,NM_015355
TCF3,TCF3,NM_001136139
TCF3,TCF3,NM_003200
TCF7,TCF7,NM_001134851
TCF7,TCF7,NM_003202
TCF7,TCF7,NM_201632
TCF7,TCF7,NM_201634
TCF7,TCF7,NM_213648
TCF7,TCF7,NM_001134852
TCF7L1,TCF7L1,NM_031283
TCF7L2,TCF7L2,NM_001146274
TCF7L2,TCF7L2,NM_001146283
TCF7L2,TCF7L2,NM_001146284
TCF7L2,TCF7L2,NM_001146285
TCF7L2,TCF7L2,NM_001146286
TCF7L2,TCF7L2,NM_001198525
TCF7L2,TCF7L2,NM_001198526
TCF7L2,TCF7L2,NM_001198527
TCF7L2,TCF7L2,NM_001198528
TCF7L2,TCF7L2,NM_001198529
TCF7L2,TCF7L2,NM_001198530
TCF7L2,TCF7L2,NM_001198531
TCF7L2,TCF7L2,NM_030756
TGFB1,TGFbeta,NM_000660
TK2,kitm,NM_004614
TNF,TNF-alpha,NM_000594
TP53,p53,NM_000546
TP53,p53,NM_001126112
TP53,p53,NM_001126113
TP53,p53,NM_001126114
TP53,p53,NM_001126115
TP53,p53,NM_001126116
TP53,p53,NM_001126117
TP53,p53,NM_001126118
TP53,p53,NM_001276695
TP53,p53,NM_001276696
TP53,p53,NM_001276697
TP53,p53,NM_001276698
TP53,p53,NM_001276699
TP53,p53,NM_001276760
TP53,p53,NM_001276761
TRIM29,TRIM29,NM_012101
TRIM29,TRIM29,NM_058193
VHL,VHL,NM_000551
VHL,VHL,NM_198156
WDR5,WDR5,NM_017588
WDR5,WDR5,NM_052821
WNT1,Wnt1,NM_005430
WNT3A,Wnt3a,NM_033131
WNT7A,Wnt7a,NM_004625
XRCC2,XRCC2,NM_005431
XRCC3,XRCC3,NM_001100118
XRCC3,XRCC3,NM_001100119
XRCC3,XRCC3,NM_005432
XRCC6,Ku70/80,NM_001469
YAF2,YAF2,NM_001190977
YAF2,YAF2,NM_001190979
YAF2,YAF2,NM_001190980
YAF2,YAF2,NM_005748
YAF2,YAF2,NM_001012424
YBX1,YB1,NM_004559
YY1,YY1,NM_003403
EHMT2,G9a,NM_001289413
EHMT2,G9a,NM_006709
EHMT2,G9a,NM_025256
DLC1,DLC1,NM_001164271
DLC1,DLC1,NM_006094
DLC1,DLC1,NM_024767
DLC1,DLC1,NM_182643
GATA4,GATA4,NM_002052
KIAA0101,PAF 15,NM_001029989
KIAA0101,PAF 15,NM_014736
