"","X","Hugo_Symbol","Entrez_Gene_Id","Entrez_Gene_ID_0","RefSeq_ID_0","Accession_0","Gene_symbol","SNP","CHR","BP","TCGAsymbolEQMETABRICsymbol","refseqID","MatchingIlluminaProbeId"
"88",102,"ABHD12B",145447,145447,"NM_181533.3","NM_181533.3","ABHD12B",145447,14,50441357,TRUE,"NM_181533","ILMN_1707925"
"89",103,"ABHD12",26090,26090,"NM_001042472.1","NM_001042472.1","ABHD12",26090,20,25230887,TRUE,"NM_001042472","ILMN_2245305"
"90",104,"ABHD13",84945,84945,"NM_032859.2","NM_032859.2","ABHD13",84945,13,107684472,TRUE,"NM_032859","ILMN_1785285"
"91",105,"ABHD14A",25864,25864,"NM_015407.3","NM_015407.3","ABHD14A",25864,3,51990074,TRUE,"NM_015407","ILMN_1794213"
"92",106,"ABHD14B",84836,84836,"NM_032750.1","NM_032750.1","ABHD14B",84836,3,51977804,TRUE,"NM_032750","ILMN_2227533"
"93",107,"ABHD15",116236,116236,"NM_198147.1","NM_198147.1","ABHD15",116236,17,24912700,TRUE,"NM_198147","ILMN_1769390"
"94",108,"ABHD1",84696,84696,"NM_032604.2","NM_032604.2","ABHD1",84696,2,27207049,TRUE,"NM_032604","ILMN_1743371"
"95",109,"ABHD2",11057,11057,"NM_152924.3","NM_152924.3","ABHD2",11057,15,87539788,TRUE,"NM_152924","ILMN_2403446"
"96",110,"ABHD3",171586,171586,"NM_138340.3","NM_138340.3","ABHD3",171586,18,17485626,TRUE,"NM_138340","ILMN_1801767"
"97",111,"ABHD4",63874,63874,"NM_022060.2","NM_022060.2","ABHD4",63874,14,22150844,TRUE,"NM_022060","ILMN_1700633"
"98",112,"ABHD5",51099,51099,"NM_016006.3","NM_016006.3","ABHD5",51099,3,43735037,TRUE,"NM_016006","ILMN_1655702"
"99",113,"ABHD6",57406,57406,"NM_020676.4","NM_020676.4","ABHD6",57406,3,58255190,TRUE,"NM_020676","ILMN_1706344"
"100",114,"ABHD8",79575,79575,"NM_024527.4","NM_024527.4","ABHD8",79575,19,17263981,TRUE,"NM_024527","ILMN_1712707"
"101",115,"ABI1",10006,10006,"NM_005470.2","NM_005470.2","ABI1",10006,10,27092867,TRUE,"NM_005470","ILMN_2329958"
"102",116,"ABI2",10152,10152,"XM_001126750.1","XM_001126750.1","ABI2",10152,2,203968668,TRUE,"XM_001126750","ILMN_1775944"
"103",117,"ABI3BP",25890,25890,"NM_015429.2","NM_015429.2","ABI3BP",25890,3,101951015,TRUE,"NM_015429","ILMN_1673639"
"104",118,"ABI3",51225,51225,"NM_016428.2","NM_016428.2","ABI3",51225,17,44655395,TRUE,"NM_016428","ILMN_1755658"
"105",119,"ABL1",25,25,"NM_007313.2","NM_007313.2","ABL1",25,9,132579463,TRUE,"NM_007313","ILMN_1713732"
"106",120,"ABL2",27,27,"NM_005158.3","NM_005158.3","ABL2",27,1,177378719,TRUE,"NM_005158","ILMN_1741628"
"107",121,"ABLIM1",3983,3983,"NM_001003407.1","NM_001003407.1","ABLIM1",3983,10,116182159,TRUE,"NM_001003407","ILMN_1785424"
"108",122,"ABLIM2",84448,84448,"NM_032432.3","NM_032432.3","ABLIM2",84448,4,8018219,TRUE,"NM_032432","ILMN_1758825"
"109",123,"ABLIM3",22885,22885,"NM_014945.2","NM_014945.2","ABLIM3",22885,5,148619980,TRUE,"NM_014945","ILMN_1656940"
"110",124,"ABO",28,28,"NM_020469.2","NM_020469.2","ABO",28,9,135120764,TRUE,"NM_020469","ILMN_1656979"
"111",125,"AOC1",26,26,"NM_001091.2","NM_001091.2","ABP1",26,7,150189240,FALSE,"NM_001091","ILMN_1731433"
"112",126,"ABRA",137735,137735,"NM_139166.3","NM_139166.3","ABRA",137735,8,107842699,TRUE,"NM_139166","ILMN_1766991"
"113",127,"ABR",29,29,"NM_001092.3","NM_001092.3","ABR",29,17,853716,TRUE,"NM_001092","ILMN_1672878"
"114",128,"ABT1",29777,29777,"NM_013375.2","NM_013375.2","ABT1",29777,6,26707862,TRUE,"NM_013375","ILMN_1658083"
"115",129,"ABTB1",80325,80325,"NM_172028.1","NM_172028.1","ABTB1",80325,3,128881995,TRUE,"NM_172028","ILMN_2367165"
"116",130,"ABTB2",25841,25841,"NM_145804.1","NM_145804.1","ABTB2",25841,11,34129483,TRUE,"NM_145804","ILMN_1753370"
"117",131,"ACAA1",30,30,"NM_001607.2","NM_001607.2","ACAA1",30,3,38142072,TRUE,"NM_001607","ILMN_1738921"
"118",132,"ACAA2",10449,10449,"NM_006111.1","NM_006111.1","MYO5B",10449,18,45564144,FALSE,"NM_006111","ILMN_1660199"
"119",133,"ACACA",31,31,"NM_198839.1","NM_198839.1","ACACA",31,17,32516248,TRUE,"NM_198839","ILMN_2331636"
"120",134,"ACACB",32,32,"NM_001093.3","NM_001093.3","ACACB",32,12,108190366,TRUE,"NM_001093","ILMN_1763852"
"121",135,"ACAD10",80724,80724,"NM_025247.4","NM_025247.4","ACAD10",80724,12,110679151,TRUE,"NM_025247","ILMN_1687303"
"122",136,"ACAD11",84129,84129,"NM_032169.4","NM_032169.4","ACAD11",84129,3,133759852,TRUE,"NM_032169","ILMN_1761058"
"123",137,"ACAD8",27034,27034,"NM_014384.1","NM_014384.1","ACAD8",27034,11,133640709,TRUE,"NM_014384","ILMN_2225595"
"124",138,"ACAD9",28976,28976,"NM_014049.3","NM_014049.3","ACAD9",28976,3,130114442,TRUE,"NM_014049","ILMN_1775579"
"125",139,"ACADL",33,33,"NM_001608.2","NM_001608.2","ACADL",33,2,210761337,TRUE,"NM_001608","ILMN_1660890"
"126",140,"ACADM",34,34,"NM_000016.2","NM_000016.2","DQ895710",34,1,75999470,FALSE,"NM_000016","ILMN_2053679"
"127",141,"ACADSB",36,36,"NM_001609.3","NM_001609.3","ACADSB",36,10,124806114,TRUE,"NM_001609","ILMN_1740920"
"128",142,"ACADS",35,35,"NM_000017.1","NM_000017.1","ACADS",35,12,119661852,TRUE,"NM_000017","ILMN_1795104"
"129",143,"ACADVL",37,37,"NM_001033859.1","NM_001033859.1","ACADVL",37,17,7069179,TRUE,"NM_001033859","ILMN_2352009"
"130",144,"ACAN",176,176,"NM_001135.1","NM_001135.1","ACAN",176,15,87217247,TRUE,"NM_001135","ILMN_1777182"
"131",145,"ACAP1",9744,9744,"NM_014716.2","NM_014716.2","DQ891719",9744,17,7194273,FALSE,"NM_014716","ILMN_1808395"
"132",146,"ACAP2",23527,23527,"NM_012287.3","NM_012287.3","ACAP2",23527,3,196477659,TRUE,"NM_012287","ILMN_2088825"
"133",147,"ACAP3",116983,116983,"NM_030649.1","NM_030649.1","ACAP3",116983,1,1219401,TRUE,"NM_030649","ILMN_1743847"
"134",148,"ACAT1",38,38,"NM_000019.2","NM_000019.2","ACAT1",38,11,107522295,TRUE,"NM_000019","ILMN_1800008"
"135",149,"ACAT2",39,39,"NM_005891.1","NM_005891.1","ACAT2",39,6,160119270,TRUE,"NM_005891","ILMN_1708672"
"136",150,"ACBD3",64746,64746,"NM_022735.3","NM_022735.3","ACBD3",64746,1,224399407,TRUE,"NM_022735","ILMN_1665945"
"137",151,"ACBD4",79777,79777,"NM_024722.1","NM_024722.1","ACBD4",79777,17,40577098,TRUE,"NM_024722","ILMN_1676288"
"138",152,"ACBD5",91452,91452,"NM_145698.2","NM_145698.2","ACBD5",91452,10,27569641,TRUE,"NM_145698","ILMN_1693250"
"139",153,"ACBD6",84320,84320,"NM_032360.2","NM_032360.2","ACBD6",84320,1,178524184,TRUE,"NM_032360","ILMN_1684271"
"140",154,"ACBD7",414149,414149,"XM_928013.1","XM_928013.1","ACBD7",414149,10,15157586,TRUE,"XM_928013","ILMN_1726388"
"141",155,"ASIC2",40,40,"NM_001094.4","NM_001094.4","ACCN1",40,17,28364448,FALSE,"NM_001094","ILMN_1665932"
"142",156,"ASIC1",41,41,"NM_020039.2","NM_020039.2","ACCN2",41,12,48760724,FALSE,"NM_020039","ILMN_1769694"
"143",157,"ASIC3",9311,9311,"NM_020321.1","NM_020321.1","ACCN3",9311,7,150380061,FALSE,"NM_020321","ILMN_1734479"
"144",158,"ASIC4",55515,55515,"NM_018674.3","NM_018674.3","ACCN4",55515,2,220111544,FALSE,"NM_018674","ILMN_2394902"
"145",159,"ASIC5",51802,51802,"NM_017419.2","NM_017419.2","ACCN5",51802,4,156977396,FALSE,"NM_017419","ILMN_1750295"
"146",160,"ACCSL",390110,390110,"NM_001031854.2","NM_001031854.2","ACCSL",390110,11,44038077,TRUE,"NM_001031854","ILMN_1780630"
"147",161,"ACCS",84680,84680,"NM_032592.1","NM_032592.1","ACCS",84680,11,44061868,TRUE,"NM_032592","ILMN_2154287"
"148",162,"ACD",65057,65057,"NM_022914.2","NM_022914.2","ACD",65057,16,66249208,TRUE,"NM_022914","ILMN_1716480"
"149",163,"ACE2",59272,59272,"NM_021804.1","NM_021804.1","ACE2",59272,23,15489284,TRUE,"NM_021804","ILMN_1667018"
"150",164,"ACER1",125981,125981,"NM_133492.1","NM_133492.1","ACER1",125981,19,6260719,TRUE,"NM_133492","ILMN_1773243"
"151",165,"ACER2",340485,340485,"NM_001010887.2","NM_001010887.2","ACER2",340485,9,19441917,TRUE,"NM_001010887","ILMN_1761000"
"152",166,"ACER3",55331,55331,"NM_018367.4","NM_018367.4","ACER3",55331,11,76411345,TRUE,"NM_018367","ILMN_1812552"
"153",167,"ACE",1636,1636,"NM_152831.1","NM_152831.1","ACE",1636,17,58952769,TRUE,"NM_152831","ILMN_1779984"
"154",168,"ACHE",43,43,"NM_015831.1","NM_015831.1","ACHE",43,7,100325947,TRUE,"NM_015831","ILMN_1735471"
"155",169,"ACIN1",22985,22985,"NM_014977.2","NM_014977.2","ACIN1",22985,14,22597891,TRUE,"NM_014977","ILMN_1699636"
"156",170,"ACLY",47,47,"NM_001096.2","NM_001096.2","ACLY",47,17,37277279,TRUE,"NM_001096","ILMN_2371379"
"157",171,"ACMSD",130013,130013,"NM_138326.2","NM_138326.2","ACMSD",130013,2,135372416,TRUE,"NM_138326","ILMN_1727091"
"158",172,"SDHAF3",57001,57001,"NM_020186.1","NM_020186.1","ACN9",57001,7,96585066,FALSE,"NM_020186","ILMN_2134039"
"159",173,"ACO1",48,48,"NM_002197.1","NM_002197.1","ACO1",48,9,32440645,TRUE,"NM_002197","ILMN_1750800"
"160",174,"ACO2",50,50,"NM_001098.2","NM_001098.2","ACO2",50,22,40253357,TRUE,"NM_001098","ILMN_1654861"
"161",175,"ACOT11",26027,26027,"NM_015547.2","NM_015547.2","ACOT11",26027,1,54843464,TRUE,"NM_015547","ILMN_1739594"
"162",176,"ACOT12",134526,134526,"NM_130767.1","NM_130767.1","ACOT12",134526,5,80662466,TRUE,"NM_130767","ILMN_1785474"
"163",177,"ACOT13",55856,55856,"NM_018473.2","NM_018473.2","THEM2",55856,6,24806167,FALSE,"NM_018473","ILMN_2098743"
"164",178,"ACOT1",641371,641371,"NM_001037161.1","NM_001037161.1","ACOT1",641371,14,73073818,TRUE,"NM_001037161","ILMN_1715543"
"165",179,"ACOT2",10965,10965,"NM_006821.4","NM_006821.4","ACOT2",10965,14,73105781,TRUE,"NM_006821","ILMN_1716237"
"166",180,"ACOT4",122970,122970,"NM_152331.2","NM_152331.2","ACOT4",122970,14,73132060,TRUE,"NM_152331","ILMN_1764321"
"167",181,"ACOT6",641372,641372,"NM_001037162.1","NM_001037162.1","ACOT6",641372,14,73156213,TRUE,"NM_001037162","ILMN_2156699"
"168",182,"ACOT7",11332,11332,"NM_181862.2","NM_181862.2","AB074415",11332,1,6265470,FALSE,"NM_181862","ILMN_1740265"
"169",183,"ACOT8",10005,10005,"NM_005469.2","NM_005469.2","ACOT8",10005,20,43906396,TRUE,"NM_005469","ILMN_1679600"
"170",184,"ACOT9",23597,23597,"NM_001037171.1","NM_001037171.1","ACOT9",23597,23,23631771,TRUE,"NM_001037171","ILMN_1658995"
"171",185,"ACOX1",51,51,"NM_004035.4","NM_004035.4","ACOX1",51,17,71467981,TRUE,"NM_004035","ILMN_1750158"
"172",186,"ACOX2",8309,8309,"NM_003500.2","NM_003500.2","ACOX2",8309,3,58469680,TRUE,"NM_003500","ILMN_1685703"
"173",187,"ACOX3",8310,8310,"NM_003501.1","NM_003501.1","ACOX3",8310,4,8419451,TRUE,"NM_003501","ILMN_1743396"
"174",188,"ACOXL",55289,55289,"NM_018308.1","NM_018308.1","ACOXL",55289,2,111568247,TRUE,"NM_018308","ILMN_1743680"
"175",189,"ACP1",52,52,"NM_001040649.1","NM_001040649.1","ACP1",52,2,254953,TRUE,"NM_001040649","ILMN_2344956"
"176",190,"ACP2",53,53,"NM_001610.1","NM_001610.1","ACP2",53,11,47217647,TRUE,"NM_001610","ILMN_2104830"
"177",191,"ACP5",54,54,"NM_001611.2","NM_001611.2","ACP5",54,19,11546741,TRUE,"NM_001611","ILMN_2078599"
"178",192,"ACP6",51205,51205,"NM_016361.2","NM_016361.2","ACP6",51205,1,145586680,TRUE,"NM_016361","ILMN_2234343"
"179",193,"PXYLP1",92370,92370,"NM_152282.2","NM_152282.2","ACPL2",92370,3,142495379,FALSE,"NM_152282","ILMN_2306955"
"180",194,"ACPP",55,55,"NM_001099.2","NM_001099.2","ACPP",55,3,133559953,TRUE,"NM_001099","ILMN_1758323"
"181",195,"ACPT",93650,93650,"NM_033068.2","NM_033068.2","ACPT",93650,19,55989029,TRUE,"NM_033068","ILMN_1728331"
"182",196,"ACRBP",84519,84519,"NM_032489.2","NM_032489.2","ACRBP",84519,12,6617770,TRUE,"NM_032489","ILMN_1784203"
"183",197,"ACRC",93953,93953,"NM_052957.3","NM_052957.3","ACRC",93953,23,70749996,TRUE,"NM_052957","ILMN_1666690"
"184",198,"ACRV1",56,56,"NM_020115.3","NM_020115.3","ACRV1",56,11,125047595,TRUE,"NM_020115","ILMN_1654468"
"185",199,"ACR",49,49,"NM_001097.2","NM_001097.2","ACR",49,22,49530220,TRUE,"NM_001097","ILMN_1705637"
"186",200,"ACSBG1",23205,23205,"NM_015162.3","NM_015162.3","ACSBG1",23205,15,76250474,TRUE,"NM_015162","ILMN_2227011"
"187",201,"ACSBG2",81616,81616,"NM_030924.3","NM_030924.3","ACSBG2",81616,19,6144041,TRUE,"NM_030924","ILMN_1730002"
"188",202,"ACSF2",80221,80221,"NM_025149.3","NM_025149.3","ACSF2",80221,17,45906977,TRUE,"NM_025149","ILMN_1711928"
"189",203,"ACSF3",197322,197322,"NM_174917.1","NM_174917.1","ACSF3",197322,16,87749552,TRUE,"NM_174917","ILMN_1716832"
"190",204,"ACSL1",2180,2180,"NM_001995.2","NM_001995.2","ACSL1",2180,4,185913970,TRUE,"NM_001995","ILMN_1684585"
"191",205,"ACSL3",2181,2181,"NM_004457.3","NM_004457.3","ACSL3",2181,2,223516128,TRUE,"NM_004457","ILMN_1666096"
"192",206,"ACSL4",2182,2182,"NM_022977.1","NM_022977.1","ACSL4",2182,23,108798123,TRUE,"NM_022977","ILMN_1683598"
"193",207,"ACSL5",51703,51703,"NM_016234.3","NM_016234.3","ACSL5",51703,10,114126145,TRUE,"NM_016234","ILMN_1705247"
