hgnc_symbol	ensembl_gene_id	entrezgene	chromosome_name	start_position	end_position
51	IGSF21	ENSG00000117154	84966	1	18434240	18704977
52	CAPZB	ENSG00000077549	832	1	19665267	19812066
53	CAPZB	ENSG00000077549	832	1	19665267	19812066
54	CAPZB	ENSG00000077549	832	1	19665267	19812066
55		ENSG00000235185	NA	1	19918296	19923326
56	MINOS1	ENSG00000173436	440574	1	19923477	19956314
57	MINOS1-NBL1	ENSG00000270136	100532736	1	19923473	19984549
58	MINOS1-NBL1	ENSG00000270136	4681	1	19923473	19984549
59	ECE1	ENSG00000117298	1889	1	21543740	21671997
60	ECE1	ENSG00000117298	1889	1	21543740	21671997
61	ECE1	ENSG00000117298	1889	1	21543740	21671997
62	ECE1	ENSG00000117298	1889	1	21543740	21671997
63	ECE1	ENSG00000117298	1889	1	21543740	21671997
64	RAP1GAP	ENSG00000076864	5909	1	21922708	21995801
65	HSPG2	ENSG00000142798	3339	1	22148738	22263790
66	ZBTB40	ENSG00000184677	9923	1	22778344	22857650
67	HNRNPR	ENSG00000125944	10236	1	23630264	23670829
68	ZNF436	ENSG00000125945	80818	1	23685941	23695935
69	TCEA3	ENSG00000204219	6920	1	23707554	23751233
70	MDS2	ENSG00000197880	NA	1	23907985	23967058
71	STPG1	ENSG00000001460	90529	1	24683489	24743424
72	NCMAP	ENSG00000184454	400746	1	24882602	24935819
73	NCMAP	ENSG00000184454	400746	1	24882602	24935819
74	LDLRAP1	ENSG00000157978	26119	1	25870071	25895377
75	MAN1C1	ENSG00000117643	57134	1	25943959	26112698
76	NUDC	ENSG00000090273	10726	1	27226729	27273353
77	NR0B2	ENSG00000131910	8431	1	27237980	27240457
78	SLC9A1	ENSG00000090020	6548	1	27425306	27493472
79	SLC9A1	ENSG00000090020	6548	1	27425306	27493472
80	AHDC1	ENSG00000126705	27245	1	27860546	27930942
81	RCC1	ENSG00000180198	1104	1	28832455	28865812
82	PRDX3P2	ENSG00000231468	NA	1	28852830	28853739
83	RCC1	ENSG00000180198	1104	1	28832455	28865812
84	MECR	ENSG00000116353	51102	1	29519385	29557454
85	NKAIN1	ENSG00000084628	79570	1	31652592	31712401
86	FABP3	ENSG00000121769	2170	1	31838472	31849697
87	NA	ENSG00000203620	NA	1	32307620	32321169
88	NA	ENSG00000203620	NA	1	32307620	32321169
89	NA	ENSG00000269967	NA	1	32317514	32387442
90	NA	ENSG00000269967	NA	1	32317514	32387442
91	HDAC1	ENSG00000116478	3065	1	32757687	32799236
92	KIAA1522	ENSG00000162522	57648	1	33207486	33240571
93	CSMD2	ENSG00000121904	114784	1	33979609	34631443
94	KIAA0319L	ENSG00000142687	79932	1	35899091	36023551
95	OSCP1	ENSG00000116885	127700	1	36881428	36916086
96	MEAF6	ENSG00000163875	64769	1	37958176	37980375
97	MANEAL	ENSG00000185090	149175	1	38259474	38266809
98	MACF1	ENSG00000127603	23499	1	39546988	39952849
99	MACF1	ENSG00000127603	23499	1	39546988	39952849
100	MACF1	ENSG00000127603	23499	1	39546988	39952849
101		ENSG00000226438	NA	1	39715510	39723321
102	MACF1	ENSG00000127603	23499	1	39546988	39952849
103	TRIT1	ENSG00000043514	54802	1	40306723	40349183
104	HIVEP3	ENSG00000127124	59269	1	41972036	42501596
105	HIVEP3	ENSG00000127124	59269	1	41972036	42501596
106	HIVEP3	ENSG00000127124	59269	1	41972036	42501596
107	HIVEP3	ENSG00000127124	59269	1	41972036	42501596
108	HIVEP3	ENSG00000127124	59269	1	41972036	42501596
109	SLC2A1-AS1	ENSG00000227533	440584	1	43424720	43449029
110	PTPRF	ENSG00000142949	5792	1	43990858	44089343
111	ST3GAL3	ENSG00000126091	6487	1	44171495	44396831
112	ST3GAL3	ENSG00000126091	6487	1	44171495	44396831
113	ERI3	ENSG00000117419	79033	1	44686742	44820932
114	ZSWIM5	ENSG00000162415	57643	1	45482071	45771881
115	PRDX1	ENSG00000117450	5052	1	45976708	45988719
116	CYP4B1	ENSG00000142973	1580	1	47223510	47285085
117	CYP4X1	ENSG00000186377	260293	1	47427036	47516423
118	TRABD2B	ENSG00000269113	388630	1	48226200	48462567
119	TRABD2B	ENSG00000269113	388630	1	48226200	48462567
120	TTC39A	ENSG00000085831	22996	1	51752930	51810788
121		ENSG00000261664	NA	1	51795326	51800996
122	TTC39A	ENSG00000085831	22996	1	51752930	51810788
123	NA	ENSG00000227070	NA	1	51983981	52027301
124	CALR4P	ENSG00000227742	NA	1	52027538	52060569
125	RAB3B	ENSG00000169213	5865	1	52373628	52456436
126	GLIS1	ENSG00000174332	148979	1	53971910	54199877
127	LDLRAD1	ENSG00000203985	388633	1	54474412	54483856
128	PPAP2B	ENSG00000162407	8613	1	56960419	57110974
129	C1orf168	ENSG00000187889	199920	1	57184477	57285369
130	FGGY	ENSG00000172456	55277	1	59762310	60233347
131	NFIA	ENSG00000162599	4774	1	61330931	61928465
132	JAK1	ENSG00000162434	3716	1	65298912	65432187
133	JAK1	ENSG00000162434	3716	1	65298912	65432187
134	NA	ENSG00000226891	101927084	1	65437908	65468159
135	IL12RB2	ENSG00000081985	3595	1	67773047	67862583
136	ZRANB2-AS2	ENSG00000229956	100852410	1	71547007	71955652
137	NEGR1	ENSG00000172260	257194	1	71861623	72748417
138	NEGR1	ENSG00000172260	257194	1	71861623	72748417
139	C1orf173	ENSG00000178965	127254	1	75033795	75139422
140	NA	ENSG00000230027	NA	1	76507376	76531913
141	ST6GALNAC5	ENSG00000117069	81849	1	77333126	77531396
142	LPHN2	ENSG00000117114	101927458	1	81771845	82458120
143	LPHN2	ENSG00000117114	23266	1	81771845	82458120
144	MCOLN2	ENSG00000153898	255231	1	85391268	85462796
145	NA	ENSG00000223653	NA	1	85742398	85913807
146	DDAH1	ENSG00000153904	23576	1	85784164	86043933
147	BCAR3	ENSG00000137936	8412	1	94027347	94312706
148	BCAR3	ENSG00000137936	8412	1	94027347	94312706
149	NA	ENSG00000237435	NA	1	96403457	96488436
150	CDC14A	ENSG00000079335	8556	1	100810584	100985833
151		ENSG00000228086	NA	1	100927955	100951553
152	CDC14A	ENSG00000079335	8556	1	100810584	100985833
153	NTNG1	ENSG00000162631	22854	1	107682629	108026080
154	NTNG1	ENSG00000162631	22854	1	107682629	108026080
155	VAV3	ENSG00000134215	10451	1	108113782	108507766
156	VAV3	ENSG00000134215	10451	1	108113782	108507766
157	VAV3	ENSG00000134215	10451	1	108113782	108507766
158	VAV3	ENSG00000134215	10451	1	108113782	108507766
159		ENSG00000260879	NA	1	108742548	108744113
160	SLC25A24	ENSG00000085491	29957	1	108676658	108743471
161	TMEM167B	ENSG00000215717	56900	1	109632425	109639556
162	KIAA1324	ENSG00000116299	57535	1	109656301	109749401
163	KIAA1324	ENSG00000116299	57535	1	109656301	109749401
164	KIAA1324	ENSG00000116299	57535	1	109656301	109749401
165	KIAA1324	ENSG00000116299	57535	1	109656301	109749401
166	KIAA1324	ENSG00000116299	57535	1	109656301	109749401
167	CELSR2	ENSG00000143126	1952	1	109792641	109818372
168	AHCYL1	ENSG00000168710	10768	1	110527308	110566357
169		ENSG00000227091	NA	1	110708808	110715111
170	SLC6A17	ENSG00000197106	101928619	1	110693108	110744824
171	SLC6A17	ENSG00000197106	388662	1	110693108	110744824
172	ADORA3	ENSG00000121933	140	1	112025970	112106584
173	ADORA3	ENSG00000121933	140	1	112025970	112106584
174	ADORA3	ENSG00000121933	140	1	112025970	112106584
175	RAP1A	ENSG00000116473	5906	1	112084840	112259313
176	KCND3	ENSG00000171385	3752	1	112313284	112531777
177	KCND3	ENSG00000171385	3752	1	112313284	112531777
178	PPM1J	ENSG00000155367	333926	1	113252616	113258099
179	HIPK1	ENSG00000163349	204851	1	114471814	114520426
180	NA	ENSG00000232895	NA	1	114749049	114804900
181	VANGL1	ENSG00000173218	81839	1	116184574	116240845
182	CASQ2	ENSG00000118729	845	1	116242628	116311402
183	CASQ2	ENSG00000118729	845	1	116242628	116311402
184	SLC22A15	ENSG00000163393	55356	1	116519119	116612675
185	SLC22A15	ENSG00000163393	55356	1	116519119	116612675
186	MAB21L3	ENSG00000173212	126868	1	116654376	116677861
187	NA	ENSG00000233154	101929023	1	116966346	117021464
188	CD101	ENSG00000134256	9398	1	117544382	117579167
189	VTCN1	ENSG00000134258	79679	1	117686209	117753556
190	SPAG17	ENSG00000155761	200162	1	118496484	118727846
191	SPAG17	ENSG00000155761	200162	1	118496484	118727846
192	PDE4DIP	ENSG00000178104	101930416	1	144836157	145076186
193	PDE4DIP	ENSG00000178104	101929792	1	144836157	145076186
194	PDE4DIP	ENSG00000178104	100996761	1	144836157	145076186
195	PDE4DIP	ENSG00000178104	100996724	1	144836157	145076186
196	PDE4DIP	ENSG00000178104	9659	1	144836157	145076186
197		ENSG00000268172	NA	1	144989309	144991365
198	PDE4DIP	ENSG00000178104	101930416	1	144836157	145076186
199	PDE4DIP	ENSG00000178104	101929792	1	144836157	145076186
200	PDE4DIP	ENSG00000178104	100996761	1	144836157	145076186
201	PDE4DIP	ENSG00000178104	100996724	1	144836157	145076186
202	PDE4DIP	ENSG00000178104	9659	1	144836157	145076186
203	PDE4DIP	ENSG00000178104	101930416	1	144836157	145076186
204	PDE4DIP	ENSG00000178104	101929792	1	144836157	145076186
205	PDE4DIP	ENSG00000178104	100996761	1	144836157	145076186
206	PDE4DIP	ENSG00000178104	100996724	1	144836157	145076186
207	PDE4DIP	ENSG00000178104	9659	1	144836157	145076186
208	ITGA10	ENSG00000143127	8515	1	145524891	145543868
209	RNF115	ENSG00000121848	27246	1	145611036	145696218
210	RNF115	ENSG00000121848	27246	1	145611036	145696218
211	PDZK1	ENSG00000174827	5174	1	145726918	145764074
212	PDZK1	ENSG00000174827	5174	1	145726918	145764074
213	BCL9	ENSG00000116128	607	1	147013182	147098017
214	ACP6	ENSG00000162836	51205	1	147101453	147142618
215	LINC01138	ENSG00000215863	NA	1	147835127	147931933
216	HIST2H2BE	ENSG00000184678	8349	1	149856010	149858232
217	ARNT	ENSG00000143437	405	1	150782181	150849244
218	CERS2	ENSG00000143418	29956	1	150933059	150947479
219	ANXA9	ENSG00000143412	8416	1	150954493	150968110
220	FAM63A	ENSG00000143409	55793	1	150969025	150980851
221	FAM63A	ENSG00000143409	55793	1	150969025	150980851
222	PRUNE	ENSG00000143363	58497	1	150980896	151008189
223	CGN	ENSG00000143375	57530	1	151482986	151511168
224		ENSG00000232536	NA	1	151512992	151534331
225	TUFT1	ENSG00000143367	7286	1	151512781	151556059
226	TUFT1	ENSG00000143367	7286	1	151512781	151556059
227	TDRKH	ENSG00000182134	11022	1	151742583	151763892
228	S100A10	ENSG00000197747	6281	1	151955391	151966866
229	S100A10	ENSG00000197747	6281	1	151955391	151966866
230	NBPF18P	ENSG00000229021	441908	1	151967007	152015250
231	S100A11	ENSG00000163191	6282	1	152004982	152020383
232	NA	ENSG00000227415	NA	1	152346430	152417932
233	TPM3	ENSG00000143549	7170	1	154127784	154167124
234	TPM3	ENSG00000143549	7170	1	154127784	154167124
235	ATP8B2	ENSG00000143515	57198	1	154298029	154323783
236	ATP8B2	ENSG00000143515	57198	1	154298029	154323783
237	ZBTB7B	ENSG00000160685	51043	1	154975127	154990998
238		ENSG00000273088	NA	1	155141885	155159748
239	TRIM46	ENSG00000163462	80128	1	155145873	155157447
240	LMNA	ENSG00000160789	4000	1	156052364	156109880
241	NA	ENSG00000236947	NA	1	156416204	156426369
242	MEF2D	ENSG00000116604	4209	1	156433519	156470620
243	NA	ENSG00000229953	NA	1	156616299	156631216
244	ETV3	ENSG00000117036	2117	1	157090983	157108266
245	KCNJ10	ENSG00000177807	3766	1	160007257	160040038
246	NIT1	ENSG00000158793	4817	1	161087876	161095235
247	FCGR2A	ENSG00000143226	2212	1	161475220	161493803
248	FCGR2B	ENSG00000072694	2213	1	161551101	161648444
249	NOS1AP	ENSG00000198929	9722	1	162039564	162353321
250	NOS1AP	ENSG00000198929	9722	1	162039564	162353321
251	NOS1AP	ENSG00000198929	9722	1	162039564	162353321
252	NOS1AP	ENSG00000198929	9722	1	162039564	162353321
253	NOS1AP	ENSG00000198929	9722	1	162039564	162353321
254	PBX1	ENSG00000185630	5087	1	164524821	164868533
255	PBX1	ENSG00000185630	5087	1	164524821	164868533
256	NA	ENSG00000235736	NA	1	168732603	168743728
257	LINC00970	ENSG00000203601	101978719	1	168873143	169056243
258	LINC00970	ENSG00000203601	101930564	1	168873143	169056243
259	LINC00970	ENSG00000203601	101978719	1	168873143	169056243
260	LINC00970	ENSG00000203601	101930564	1	168873143	169056243
261	ATP1B1	ENSG00000143153	481	1	169074935	169101960
262		ENSG00000213062	NA	1	169455380	169456846
263	SLC19A2	ENSG00000117479	10560	1	169433147	169455241
264	F5	ENSG00000198734	2153	1	169483404	169555826
265	KIFAP3	ENSG00000075945	22920	1	169890467	170054349
266	FMO4	ENSG00000076258	2329	1	171283347	171311223
267	NA	ENSG00000224228	NA	1	172745045	173033155
268	RABGAP1L	ENSG00000152061	9910	1	174128548	174964445
269	PAPPA2	ENSG00000116183	60676	1	176432307	176814735
270	PAPPA2	ENSG00000116183	60676	1	176432307	176814735
271	BRINP2	ENSG00000198797	57795	1	177140633	177251558
272	NA	ENSG00000227579	NA	1	177362423	177566844
273	NA	ENSG00000227579	NA	1	177362423	177566844
274	NA	ENSG00000227579	NA	1	177362423	177566844
275	NA	ENSG00000227579	NA	1	177362423	177566844
276	QSOX1	ENSG00000116260	5768	1	180123969	180173165
277	QSOX1	ENSG00000116260	5768	1	180123969	180173165
278	NA	ENSG00000228918	400799	1	182098445	182283196
279	NA	ENSG00000228918	400799	1	182098445	182283196
280	NA	ENSG00000228918	400799	1	182098445	182283196
281	LAMC1	ENSG00000135862	3915	1	182992595	183114727
282	LAMC2	ENSG00000058085	3918	1	183155373	183214035
283	NMNAT2	ENSG00000157064	23057	1	183217372	183387737
284	COLGALT2	ENSG00000198756	23127	1	183898796	184006863
285	C1orf21	ENSG00000116667	81563	1	184356192	184598154
286	C1orf21	ENSG00000116667	81563	1	184356192	184598154
287	C1orf21	ENSG00000116667	81563	1	184356192	184598154
288	FAM129A	ENSG00000135842	116496	1	184759858	184943682
289	FAM129A	ENSG00000135842	116496	1	184759858	184943682
290	FAM129A	ENSG00000135842	116496	1	184759858	184943682
291	FAM129A	ENSG00000135842	116496	1	184759858	184943682
292	HMCN1	ENSG00000143341	83872	1	185703683	186160085
293	HMCN1	ENSG00000143341	83872	1	185703683	186160085
294	HMCN1	ENSG00000143341	83872	1	185703683	186160085
295	NR5A2	ENSG00000116833	2494	1	199996730	200146552
296	NR5A2	ENSG00000116833	2494	1	199996730	200146552
297	NR5A2	ENSG00000116833	2494	1	199996730	200146552
298	NR5A2	ENSG00000116833	2494	1	199996730	200146552
299	TMEM9	ENSG00000116857	252839	1	201103900	201140702
300	LAD1	ENSG00000159166	3898	1	201342372	201368736
301	CSRP1	ENSG00000159176	1465	1	201452658	201478584
302	IPO9-AS1	ENSG00000231871	100873949	1	201657387	201798687
303	NAV1	ENSG00000134369	89796	1	201592411	201796102
304		ENSG00000234678	NA	1	201969222	201979481
305	ELF3	ENSG00000163435	1999	1	201977073	201986316
306		ENSG00000234678	NA	1	201969222	201979481
307	ELF3	ENSG00000163435	1999	1	201977073	201986316
308	GPR37L1	ENSG00000170075	9283	1	202091986	202102720
309	ARL8A	ENSG00000143862	127829	1	202102532	202113869
310	PTPN7	ENSG00000143851	5778	1	202116141	202130716
311	UBE2T	ENSG00000077152	29089	1	202300785	202311108
312	PPP1R12B	ENSG00000077157	4660	1	202317827	202561834
313	NA	ENSG00000214796	NA	1	202820956	202830748
314	PPFIA4	ENSG00000143847	8497	1	202995626	203047868
315	MYBPH	ENSG00000133055	4608	1	203136939	203144941
316	SOX13	ENSG00000143842	9580	1	204042243	204096863
317	ETNK2	ENSG00000143845	55224	1	204100190	204121307
318	PLEKHA6	ENSG00000143850	22874	1	204187979	204346793
319	PLEKHA6	ENSG00000143850	22874	1	204187979	204346793
320	NA	ENSG00000226330	NA	1	204346978	204404974
321	MDM4	ENSG00000198625	4194	1	204485511	204542871
322	NFASC	ENSG00000163531	23114	1	204797779	204991950
323	RASSF5	ENSG00000136653	83593	1	206680879	206762616
324	MAPKAPK2	ENSG00000162889	9261	1	206858289	206907628
325	IL24	ENSG00000162892	11009	1	207070788	207077484
326	IL24	ENSG00000162892	11009	1	207070788	207077484
327	C1orf116	ENSG00000182795	79098	1	207191866	207206101
328	CD55	ENSG00000196352	1604	1	207494853	207534311
329	PLXNA2	ENSG00000076356	5362	1	208195587	208417665
330	NA	ENSG00000224260	NA	1	209701800	209741018
331	CAMK1G	ENSG00000008118	57172	1	209757062	209787283
332	HHAT	ENSG00000054392	55733	1	210501596	210849638
333	DTL	ENSG00000143476	51514	1	212208919	212280742
334	MIR3122	ENSG00000264358	100422947	1	212250955	212251027
335	DTL	ENSG00000143476	51514	1	212208919	212280742
336	NA	ENSG00000224535	NA	1	212640158	212641085
337	NA	ENSG00000260805	NA	1	212731175	212733073
338	PROX1-AS1	ENSG00000230461	NA	1	213991094	214160973
339	PROX1	ENSG00000117707	5629	1	214156524	214214595
340	SMYD2	ENSG00000143499	56950	1	214454445	214510474
341	ESRRG	ENSG00000196482	2104	1	216676588	217311097
342	GPATCH2	ENSG00000092978	55105	1	217600334	217804424
343	TGFB2	ENSG00000092969	7042	1	218519577	218617961
344	TGFB2	ENSG00000092969	7042	1	218519577	218617961
345	SUSD4	ENSG00000143502	55061	1	223394161	223537544
346	CAPN8	ENSG00000203697	388743	1	223711349	223853436
347	NA	ENSG00000232628	101927143	1	224396449	224400981
348	NVL	ENSG00000143748	4931	1	224415036	224518089
349	CNIH3	ENSG00000143786	149111	1	224622362	224928251
350	LEFTY1	ENSG00000243709	10637	1	226073982	226099082
351		ENSG00000255835	NA	1	226074396	226111978
352	OBSCN	ENSG00000154358	84033	1	228395831	228566577
353	HIST3H2BB	ENSG00000196890	128312	1	228645808	228646259
354	HIST3H2BA	ENSG00000181201	NA	1	228651804	228652327
355	COG2	ENSG00000135775	22796	1	230778235	230829728
356		ENSG00000244137	NA	1	230846444	230931238
357	CAPN9	ENSG00000135773	10753	1	230883130	230937749
358	DISC1	ENSG00000162946	27185	1	231762561	232177018
359	SIPA1L2	ENSG00000116991	57568	1	232533711	232697304
360	PCNXL2	ENSG00000135749	80003	1	233119181	233431459
361	KCNK1	ENSG00000135750	3775	1	233749750	233808258
362	LINC01132	ENSG00000227630	100506810	1	234859789	234867390
363	NA	ENSG00000238005	NA	1	235093089	235105809
364	NA	ENSG00000238005	NA	1	235093089	235105809
365	RPL23AP23	ENSG00000236863	NA	1	235459180	235459650
366	ARID4B	ENSG00000054267	51742	1	235294949	235491534
367	GNG4	ENSG00000168243	2786	1	235710987	235814054
368	CNST	ENSG00000162852	163882	1	246729746	246831886
369		ENSG00000228955	NA	1	246795553	246795780
370	CNST	ENSG00000162852	163882	1	246729746	246831886
371	SH3YL1	ENSG00000035115	26751	2	217730	266398
372	NA	ENSG00000228613	NA	2	1550437	1623885
373	PXDN	ENSG00000130508	7837	2	1635659	1748624
374	PXDN	ENSG00000130508	7837	2	1635659	1748624
375	MYT1L	ENSG00000186487	23040	2	1792885	2335032
376	TSSC1	ENSG00000032389	7260	2	3192696	3381653
377	RNF144A	ENSG00000151692	9781	2	7057523	7208417
378	RNF144A	ENSG00000151692	9781	2	7057523	7208417
379	LINC00298	ENSG00000235665	339788	2	8062556	8418214
380	LINC00299	ENSG00000236790	339789	2	8147901	8523751
381	GRHL1	ENSG00000134317	29841	2	10085341	10142411
382	NA	ENSG00000260476	NA	2	10161705	10162952
383	ATP6V1C2	ENSG00000143882	245973	2	10861775	10925236
384	ATP6V1C2	ENSG00000143882	245973	2	10861775	10925236
385	MIR4429	ENSG00000264010	100616469	2	11680731	11680803
386	GREB1	ENSG00000196208	9687	2	11674242	11782914
387	GREB1	ENSG00000196208	9687	2	11674242	11782914
388	NA	ENSG00000226764	NA	2	16137171	16203007
389	NA	ENSG00000224400	NA	2	16535524	16613970
390	NA	ENSG00000236204	NA	2	19167729	19546509
391	NA	ENSG00000236204	NA	2	19167729	19546509
392	NA	ENSG00000236204	NA	2	19167729	19546509
393	NA	ENSG00000236204	NA	2	19167729	19546509
394	NA	ENSG00000236204	NA	2	19167729	19546509
395	NA	ENSG00000236204	NA	2	19167729	19546509
396	NA	ENSG00000236204	NA	2	19167729	19546509
397	NA	ENSG00000234378	NA	2	20263617	20306590
398	SDC1	ENSG00000115884	6382	2	20400558	20425194
399	SDC1	ENSG00000115884	6382	2	20400558	20425194
400	FAM228B	ENSG00000219626	375190	2	24299396	24392509
401	TP53I3	ENSG00000115129	9540	2	24300303	24308731
402	EFR3B	ENSG00000084710	22979	2	25264999	25378243
403		ENSG00000230286	NA	2	27173176	27232675
404	MAPRE3	ENSG00000084764	22924	2	27193480	27250064
405	BRE	ENSG00000158019	9577	2	28112808	28561768
406	BRE	ENSG00000158019	9577	2	28112808	28561768
407	ALK	ENSG00000171094	238	2	29415640	30144432
408	GALNT14	ENSG00000158089	79623	2	31133333	31378068
409	LTBP1	ENSG00000049323	4052	2	33172039	33624576
410	VIT	ENSG00000205221	5212	2	36923833	37041935
411	CDC42EP3	ENSG00000163171	10602	2	37869032	37965611
412	CYP1B1-AS1	ENSG00000232973	285154	2	38302791	38408997
413	CYP1B1	ENSG00000138061	1545	2	38294116	38337044
414	CYP1B1-AS1	ENSG00000232973	285154	2	38302791	38408997
415	CYP1B1	ENSG00000138061	1545	2	38294116	38337044
416	NA	ENSG00000231367	NA	2	38633861	38742882
417	GALM	ENSG00000143891	130589	2	38893052	38968379
418	CDKL4	ENSG00000205111	344387	2	39402787	39456729
419	NA	ENSG00000231312	728730	2	39663778	39892483
420	COX7A2L	ENSG00000115944	9167	2	42560686	42652228
421	HAAO	ENSG00000162882	23498	2	42994229	43019733
422	THADA	ENSG00000115970	63892	2	43393800	43823185
423	THADA	ENSG00000115970	63892	2	43393800	43823185
424	THADA	ENSG00000115970	63892	2	43393800	43823185
425	THADA	ENSG00000115970	63892	2	43393800	43823185
426	THADA	ENSG00000115970	63892	2	43393800	43823185
427	THADA	ENSG00000115970	63892	2	43393800	43823185
428	LRPPRC	ENSG00000138095	10128	2	44113647	44223144
429	PRKCE	ENSG00000171132	5581	2	45878484	46415129
430		ENSG00000228481	NA	2	45901840	45902615
431	PRKCE	ENSG00000171132	5581	2	45878484	46415129
432	PRKCE	ENSG00000171132	5581	2	45878484	46415129
433	PRKCE	ENSG00000171132	5581	2	45878484	46415129
434	PRKCE	ENSG00000171132	5581	2	45878484	46415129
435	PRKCE	ENSG00000171132	5581	2	45878484	46415129
436	PRKCE	ENSG00000171132	5581	2	45878484	46415129
437	PRKCE	ENSG00000171132	5581	2	45878484	46415129
438	TTC7A	ENSG00000068724	57217	2	47143296	47303276
439	ACYP2	ENSG00000170634	101927144	2	54197975	54532437
440	ACYP2	ENSG00000170634	98	2	54197975	54532437
441	SPTBN1	ENSG00000115306	6711	2	54683422	54896812
442	EML6	ENSG00000214595	400954	2	54950636	55199157
443	EML6	ENSG00000214595	400954	2	54950636	55199157
444	EML6	ENSG00000214595	400954	2	54950636	55199157
445	VRK2	ENSG00000028116	101927261	2	58134786	58387055
446	VRK2	ENSG00000028116	7444	2	58134786	58387055
447	NA	ENSG00000271955	NA	2	59445815	60327335
448		ENSG00000226605	NA	2	63053199	63085573
449	EHBP1	ENSG00000115504	23301	2	62900986	63273622
450	RN7SL211P	ENSG00000244534	NA	2	65133999	65134272
451	NA	ENSG00000204929	101927533	2	65663845	66311773
452	NA	ENSG00000235725	NA	2	65816700	65867311
453	NA	ENSG00000232164	NA	2	66610438	66619582
454	MEIS1	ENSG00000143995	4211	2	66660584	66801001
455	TGFA	ENSG00000163235	7039	2	70674412	70781325
456	ADD2	ENSG00000075340	119	2	70834750	70995357
457	MCEE	ENSG00000124370	84693	2	71336814	71357369
458	EXOC6B	ENSG00000144036	23233	2	72403113	73053170
459	SFXN5	ENSG00000144040	94097	2	73169165	73302747
460	FBXO41	ENSG00000163013	101927826	2	73481810	73511559
461	FBXO41	ENSG00000163013	150726	2	73481810	73511559
462	ALMS1	ENSG00000116127	7840	2	73612886	73837920
463	NA	ENSG00000273245	NA	2	73977383	73977913
464		ENSG00000264324	57835	2	74438731	74590504
465	SLC4A5	ENSG00000188687	57835	2	74443369	74570541
466	INO80B	ENSG00000115274	83444	2	74682150	74688011
467	WBP1	ENSG00000239779	23559	2	74685456	74688018
468	HK2	ENSG00000159399	3099	2	75061108	75120486
469	HK2	ENSG00000159399	3099	2	75061108	75120486
470		ENSG00000270571	NA	2	75381492	75417075
