"Hugo_Symbol","AgeAssociatedVennSet"
"C16ORF92","Breast_MB"
"C17ORF58","Breast_MB"
"C18ORF21","Breast_MB"
"C19ORF12","Breast_MB"
"C19ORF33","Breast_MB"
"C1ORF115","Breast_MB"
"C1ORF116","Breast_MB"
"C1ORF186","Breast_MB"
"C1ORF198","Breast_MB"
"C1ORF21","Breast_MB"
"C1ORF54","Breast_MB"
"C1QTNF1","Breast_MB"
"C20ORF24","Breast_MB"
"C21ORF59","Breast_MB"
"C2CD4B","Breast_MB"
"C2ORF15","Breast_MB"
"C2ORF82","Breast_MB"
"C3","Breast_MB"
"C4ORF3","Breast_MB"
"C5","Breast_MB"
"C5ORF46","Breast_MB"
"C6ORF15","Breast_MB"
"C8ORF59","Breast_MB"
"C9ORF152","Breast_MB"
"C9ORF64","Breast_MB"
"CA11","Breast_MB"
"CA8","Breast_MB"
"CA9","Breast_MB"
"CABP4","Breast_MB"
"CACNA1I","Breast_MB"
"CACNG1","Breast_MB"
"CACYBP","Breast_MB"
"CADM4","Breast_MB"
"CALML5","Breast_MB"
"CAMK1G","Breast_MB"
"CAMK2B","Breast_MB"
"CAMK2N1","Breast_MB"
"CAMLG","Breast_MB"
"CANT1","Breast_MB"
"CAP2","Breast_MB"
"CAPN13","Breast_MB"
"CAPRIN1","Breast_MB"
"CAPSL","Breast_MB"
"CARD9","Breast_MB"
"CASC4","Breast_MB"
"CASD1","Breast_MB"
"CASP4","Breast_MB"
"CASZ1","Breast_MB"
"CATSPER2P1","Breast_MB"
"CAV1","Breast_MB"
"CBLC","Breast_MB"
"CBLL1","Breast_MB"
"CBR3","Breast_MB"
"CBR4","Breast_MB"
"CCBL1","Breast_MB"
"CCDC106","Breast_MB"
"CCDC109B","Breast_MB"
"CCDC117","Breast_MB"
"CCDC149","Breast_MB"
"CCDC178","Breast_MB"
"CCDC189","Breast_MB"
"CCDC24","Breast_MB"
"CCDC25","Breast_MB"
"CCDC59","Breast_MB"
"CCDC68","Breast_MB"
"CCDC90B","Breast_MB"
"CCL13","Breast_MB"
"CCL15","Breast_MB"
"CCL2","Breast_MB"
"CCL20","Breast_MB"
"CCL22","Breast_MB"
"CCL8","Breast_MB"
"CCNB1","Breast_MB"
"CCND1","Breast_MB"
"CCNY","Breast_MB"
"CCP110","Breast_MB"
"CCT3","Breast_MB"
"CCT6P1","Breast_MB"
"CCT8","Breast_MB"
"CCZ1","Breast_MB"
"CD163","Breast_MB"
"CD163L1","Breast_MB"
"CD19","Breast_MB"
"CD2","Breast_MB"
"CD248","Breast_MB"
"CD300LG","Breast_MB"
"CD302","Breast_MB"
"CD37","Breast_MB"
"CD40","Breast_MB"
"CD48","Breast_MB"
"CD52","Breast_MB"
"CD53","Breast_MB"
"CD58","Breast_MB"
"CD6","Breast_MB"
"CD82","Breast_MB"
"CD86","Breast_MB"
"CD99","Breast_MB"
"CDC123","Breast_MB"
"CDC25B","Breast_MB"
"CDC42EP1","Breast_MB"
"CDC42EP5","Breast_MB"
"CDHR3","Breast_MB"
"CDK12","Breast_MB"
"CDK18","Breast_MB"
"CDK4","Breast_MB"
"CDK5RAP3","Breast_MB"
"CDKL3","Breast_MB"
"CDKN1A","Breast_MB"
"CDKN2A","Breast_MB"
"CDKN3","Breast_MB"
"CDS1","Breast_MB"
"CEACAM6","Breast_MB"
"CEBPB","Breast_MB"
"CEBPD","Breast_MB"
"CELSR3","Breast_MB"
"CENPM","Breast_MB"
"CERS6","Breast_MB"
"CES4A","Breast_MB"
"CETN3","Breast_MB"
"CFAP157","Breast_MB"
"CFH","Breast_MB"
"CGA","Breast_MB"
"CGN","Breast_MB"
"CGNL1","Breast_MB"
"CH25H","Breast_MB"
"CHAD","Breast_MB"
"CHD1","Breast_MB"
"CHFR","Breast_MB"
"CHGB","Breast_MB"
"CHI3L2","Breast_MB"
"CHMP2A","Breast_MB"
"CHMP4B","Breast_MB"
"CHRD","Breast_MB"
"CHST1","Breast_MB"
"CHST10","Breast_MB"
"CHST15","Breast_MB"
"CIAO1","Breast_MB"
"CIART","Breast_MB"
"CIPC","Breast_MB"
"CISD1","Breast_MB"
"CISH","Breast_MB"
"CKLF","Breast_MB"
"CLCA2","Breast_MB"
"CLCC1","Breast_MB"
"CLCN7","Breast_MB"
"CLCNKA","Breast_MB"
"CLDND1","Breast_MB"
"CLEC11A","Breast_MB"
"CLEC4A","Breast_MB"
"CLECL1","Breast_MB"
"CLIC3","Breast_MB"
"CLTA","Breast_MB"
"CLUAP1","Breast_MB"
"CMAS","Breast_MB"
"CMPK1","Breast_MB"
"CMSS1","Breast_MB"
"CMYA5","Breast_MB"
"CNIH4","Breast_MB"
"CNKSR3","Breast_MB"
"CNN3","Breast_MB"
"CNNM3","Breast_MB"
"CNST","Breast_MB"
"CNTD2","Breast_MB"
"COBLL1","Breast_MB"
"COL11A1","Breast_MB"
"COL1A2","Breast_MB"
"COL4A5","Breast_MB"
"COL5A1","Breast_MB"
"COL8A1","Breast_MB"
"COL9A2","Breast_MB"
"COMMD6","Breast_MB"
"COMP","Breast_MB"
"COPZ1","Breast_MB"
"COQ2","Breast_MB"
"CORO1A","Breast_MB"
"COX6C","Breast_MB"
"CPA4","Breast_MB"
"CPB1","Breast_MB"
"CPD","Breast_MB"
"CPEB2","Breast_MB"
"CPEB3","Breast_MB"
"CPEB4","Breast_MB"
"CPSF3","Breast_MB"
"CPXM2","Breast_MB"
"CPZ","Breast_MB"
"CRABP1","Breast_MB"
"CRABP2","Breast_MB"
"CRACR2B","Breast_MB"
"CREB3L2","Breast_MB"
"CRIP1","Breast_MB"
"CRIP2","Breast_MB"
"CRNKL1","Breast_MB"
"CRY2","Breast_MB"
"CSF3R","Breast_MB"
"CSN1S1","Breast_MB"
"CSNK1A1","Breast_MB"
"CSNK1G3","Breast_MB"
"CST4","Breast_MB"
"CST6","Breast_MB"
"CST7","Breast_MB"
"CST9L","Breast_MB"
"CSTB","Breast_MB"
"CT83","Breast_MB"
"CTSC","Breast_MB"
"CTSG","Breast_MB"
"CTSK","Breast_MB"
"CTSL","Breast_MB"
"CTSV","Breast_MB"
"CTSW","Breast_MB"
"CUEDC1","Breast_MB"
"CXCL10","Breast_MB"
"CXCL11","Breast_MB"
"CXCL12","Breast_MB"
"CXCL8","Breast_MB"
"CXCL9","Breast_MB"
"CXCR3","Breast_MB"
"CXXC4","Breast_MB"
"CXXC5","Breast_MB"
"CYB561","Breast_MB"
"CYBA","Breast_MB"
"CYP21A2","Breast_MB"
"CYP2J2","Breast_MB"
"CYP4V2","Breast_MB"
"DAG1","Breast_MB"
"DBN1","Breast_MB"
"DBNDD2","Breast_MB"
"DCAKD","Breast_MB"
"DCANP1","Breast_MB"
"DCN","Breast_MB"
"DCPS","Breast_MB"
"DCTN4","Breast_MB"
"DCUN1D5","Breast_MB"
"DDOST","Breast_MB"
"DDR1","Breast_MB"
"DDX10","Breast_MB"
"DDX17","Breast_MB"
"DDX39A","Breast_MB"
"DDX46","Breast_MB"
"DECR2","Breast_MB"
"DEF8","Breast_MB"
"DEFB1","Breast_MB"
"DERA","Breast_MB"
"DESI1","Breast_MB"
"DHPS","Breast_MB"
"DHRS1","Breast_MB"
"DHRS2","Breast_MB"
"DHRS3","Breast_MB"
"DHX29","Breast_MB"
"DHX30","Breast_MB"
"DHX58","Breast_MB"
"DICER1-AS1","Breast_MB"
"DIP2A","Breast_MB"
"DIS3L","Breast_MB"
"DISP2","Breast_MB"
"DLL1","Breast_MB"
"DNAAF3","Breast_MB"
"DNAJA3","Breast_MB"
"DNAJA4","Breast_MB"
"DNAJB11","Breast_MB"
"DNAJC12","Breast_MB"
"DNAJC14","Breast_MB"
"DNAJC30","Breast_MB"
"DNAJC9","Breast_MB"
"DNASE1L3","Breast_MB"
"DNASE2","Breast_MB"
"DNPH1","Breast_MB"
"DOC2A","Breast_MB"
"DOCK11","Breast_MB"
"DOPEY2","Breast_MB"
"DPH3","Breast_MB"
"DPP7","Breast_MB"
"DRD4","Breast_MB"
"DSE","Breast_MB"
"DTD1","Breast_MB"
"DTX3","Breast_MB"
"DUSP11","Breast_MB"
"DUSP22","Breast_MB"
"DUSP28","Breast_MB"
"DUSP3","Breast_MB"
"DYNC2LI1","Breast_MB"
"DYNLRB1","Breast_MB"
"DYRK4","Breast_MB"
"E2F5","Breast_MB"
"EAF2","Breast_MB"
"EARS2","Breast_MB"
"ECM1","Breast_MB"
"ECM2","Breast_MB"
"ECT2","Breast_MB"
"EEF1B2","Breast_MB"
"EEF1DP3","Breast_MB"
"EFCAB6","Breast_MB"
"EFEMP1","Breast_MB"
"EFS","Breast_MB"
"EGFL6","Breast_MB"
"EGFLAM","Breast_MB"
"EGLN1","Breast_MB"
"EHD1","Breast_MB"
"EI24","Breast_MB"
"EIF2AK4","Breast_MB"
"EIF3B","Breast_MB"
"EIF3K","Breast_MB"
"EIF3L","Breast_MB"
"EIF3M","Breast_MB"
"EIF4E2","Breast_MB"
"ELF2","Breast_MB"
"ELMO3","Breast_MB"
"ELOVL2","Breast_MB"
"ELOVL5","Breast_MB"
"ELP2","Breast_MB"
"EML4","Breast_MB"
"EMP1","Breast_MB"
"EMP3","Breast_MB"
"ENO1","Breast_MB"
"ENO3","Breast_MB"
"ENY2","Breast_MB"
"EP300","Breast_MB"
"EPB41L4A-AS2","Breast_MB"
"EPCAM","Breast_MB"
"EPHB3","Breast_MB"
"EPM2AIP1","Breast_MB"
"EPN2","Breast_MB"
"EPS8L1","Breast_MB"
"ERBB3","Breast_MB"
"ERGIC2","Breast_MB"
"ERICH3","Breast_MB"
"ERLEC1","Breast_MB"
"ERLIN2","Breast_MB"
"ERN1","Breast_MB"
"ESPN","Breast_MB"
"ESRRG","Breast_MB"
"ETFA","Breast_MB"
"ETFB","Breast_MB"
"ETV4","Breast_MB"
"EVA1B","Breast_MB"
"EVI2A","Breast_MB"
"EXOG","Breast_MB"
"EXOSC8","Breast_MB"
"EYA2","Breast_MB"
"F12","Breast_MB"
"FAAH","Breast_MB"
"FAHD1","Breast_MB"
"FAM102A","Breast_MB"
"FAM127A","Breast_MB"
"FAM129A","Breast_MB"
"FAM134A","Breast_MB"
"FAM150B","Breast_MB"
"FAM173A","Breast_MB"
"FAM183A","Breast_MB"
"FAM189A2","Breast_MB"
"FAM198B","Breast_MB"
"FAM19A3","Breast_MB"
"FAM20C","Breast_MB"
"FAM214A","Breast_MB"
"FAM234A","Breast_MB"
"FAM43A","Breast_MB"
"FAM50B","Breast_MB"
"FAM57A","Breast_MB"
"FAM63A","Breast_MB"
"FAM65B","Breast_MB"
"FAM83E","Breast_MB"
"FAM84B","Breast_MB"
"FAM89A","Breast_MB"
"FAM98A","Breast_MB"
"FAR1","Breast_MB"
"FAR2","Breast_MB"
"FBLN1","Breast_MB"
"FBN3","Breast_MB"
"FBXL19-AS1","Breast_MB"
"FBXL5","Breast_MB"
"FBXL7","Breast_MB"
"FBXO2","Breast_MB"
"FCAR","Breast_MB"
"FCER1A","Breast_MB"
"FCGBP","Breast_MB"
"FCN1","Breast_MB"
"FCN3","Breast_MB"
"FCRLA","Breast_MB"
"FERMT3","Breast_MB"
"FGB","Breast_MB"
"FGD5","Breast_MB"
"FGFBP1","Breast_MB"
"FGFR3","Breast_MB"
"FGFR4","Breast_MB"
"FKBP11","Breast_MB"
"FKBP1A","Breast_MB"
"FKBP4","Breast_MB"
"FLNC","Breast_MB"
"FLOT1","Breast_MB"
"FLVCR2","Breast_MB"
"FNBP1","Breast_MB"
"FOXK1","Breast_MB"
"FPR3","Breast_MB"
"FRMD3","Breast_MB"
"FSIP1","Breast_MB"
"FSTL3","Breast_MB"
"FTH1","Breast_MB"
"FUT3","Breast_MB"
"FXYD3","Breast_MB"
"FYCO1","Breast_MB"
"FZD4","Breast_MB"
"GABARAPL1","Breast_MB"
"GADD45G","Breast_MB"
"GAK","Breast_MB"
"GALNT5","Breast_MB"
"GALNT6","Breast_MB"
"GAPDH","Breast_MB"
"GARS","Breast_MB"
"GART","Breast_MB"
"GATAD1","Breast_MB"
"GBP2","Breast_MB"
"GBP4","Breast_MB"
"GBP5","Breast_MB"
"GCNT1","Breast_MB"
"GDF9","Breast_MB"
"GDI1","Breast_MB"
"GDI2","Breast_MB"
"GDPD3","Breast_MB"
"GFRA1","Breast_MB"
"GGA2","Breast_MB"
"GIMAP5","Breast_MB"
"GIMAP7","Breast_MB"
"GJB2","Breast_MB"
"GLA","Breast_MB"
"GLCE","Breast_MB"
"GLDC","Breast_MB"
"GLG1","Breast_MB"
"GLI3","Breast_MB"
"GLMP","Breast_MB"
"GLRB","Breast_MB"
"GLRX3","Breast_MB"
"GLS2","Breast_MB"
"GLYATL2","Breast_MB"
"GLYR1","Breast_MB"
"GMDS","Breast_MB"
"GMFG","Breast_MB"
"GNG11","Breast_MB"
"GNG12","Breast_MB"
"GNL3L","Breast_MB"
"GNLY","Breast_MB"
"GOLGA2P10","Breast_MB"
"GOLGA8B","Breast_MB"
"GOLPH3L","Breast_MB"
"GPN1","Breast_MB"
"GPNMB","Breast_MB"
"GPR162","Breast_MB"
"GPR18","Breast_MB"
"GPRC5C","Breast_MB"
"GPRIN2","Breast_MB"
"GPS2","Breast_MB"
"GPSM1","Breast_MB"
"GPT2","Breast_MB"
"GPX2","Breast_MB"
"GPX4","Breast_MB"
"GPX8","Breast_MB"
"GRAMD2","Breast_MB"
"GRB7","Breast_MB"
"GREM1","Breast_MB"
"GRIA2","Breast_MB"
"GRPR","Breast_MB"
"GRTP1","Breast_MB"
"GSDMB","Breast_MB"
"GSDMC","Breast_MB"
"GSE1","Breast_MB"
"GSTM1","Breast_MB"
"GSTM2","Breast_MB"
"GSTM3","Breast_MB"
"GSTO2","Breast_MB"
"GSTP1","Breast_MB"
"GSTT2","Breast_MB"
"GTF2E2","Breast_MB"
"GTF2F1","Breast_MB"
"GTF2IP1","Breast_MB"
"GTF2IRD2P1","Breast_MB"
"GTF3C1","Breast_MB"
"GUSBP1","Breast_MB"
"GUSBP2","Breast_MB"
"GZMA","Breast_MB"
"GZMB","Breast_MB"
"H1FX","Breast_MB"
"HACD2","Breast_MB"
"HACD3","Breast_MB"
"HAGHL","Breast_MB"
"HAMP","Breast_MB"
"HAS3","Breast_MB"
"HCFC1R1","Breast_MB"
"HCLS1","Breast_MB"
"HCST","Breast_MB"
"HDAC11","Breast_MB"
"HDAC2","Breast_MB"
"HDC","Breast_MB"
"HEBP2","Breast_MB"
"HID1","Breast_MB"
"HIF1A","Breast_MB"
"HIRIP3","Breast_MB"
"HIST1H2BK","Breast_MB"
"HLA-A","Breast_MB"
"HLA-DQA1","Breast_MB"
"HLA-F","Breast_MB"
"HLA-G","Breast_MB"
"HLA-H","Breast_MB"
"HLCS","Breast_MB"
"HMG20B","Breast_MB"
"HMGCL","Breast_MB"
"HMP19","Breast_MB"
"HN1L","Breast_MB"
"HNRNPAB","Breast_MB"
"HNRNPLL","Breast_MB"
"HNRNPUL2","Breast_MB"
"HOMER3","Breast_MB"
"HOOK1","Breast_MB"
"HORMAD1","Breast_MB"
"HOXA9","Breast_MB"
"HOXB3","Breast_MB"
"HOXB6","Breast_MB"
"HOXC4","Breast_MB"
"HOXC6","Breast_MB"
"HOXC8","Breast_MB"
"HOXC9","Breast_MB"
"HPRT1","Breast_MB"
"HPX","Breast_MB"
"HRK","Breast_MB"
"HS3ST3A1","Breast_MB"
"HSD17B14","Breast_MB"
"HSD17B4","Breast_MB"
"HSH2D","Breast_MB"
"HSPA14","Breast_MB"
"HSPA1A","Breast_MB"
"HSPA1B","Breast_MB"
"HSPA2","Breast_MB"
"HSPA5","Breast_MB"
"HSPA8","Breast_MB"
"HSPA9","Breast_MB"
"HSPB1","Breast_MB"
"HSPB8","Breast_MB"
"HSPD1","Breast_MB"
"HTRA1","Breast_MB"
"HYOU1","Breast_MB"
"IARS","Breast_MB"
"ICOS","Breast_MB"
"ID2","Breast_MB"
"ID3","Breast_MB"
"IDH2","Breast_MB"
"IDNK","Breast_MB"
"IDO1","Breast_MB"
"IDUA","Breast_MB"
"IER3","Breast_MB"
"IFI27","Breast_MB"
"IFI27L2","Breast_MB"
"IFI30","Breast_MB"
"IFI35","Breast_MB"
"IFI44L","Breast_MB"
"IFIH1","Breast_MB"
"IFIT2","Breast_MB"
"IFITM3","Breast_MB"
"IFNGR1","Breast_MB"
"IFT122","Breast_MB"
"IFT43","Breast_MB"
"IFT88","Breast_MB"
"IGDCC3","Breast_MB"
"IGF1R","Breast_MB"
"IGF2BP3","Breast_MB"
"IGFALS","Breast_MB"
"IGFBP2","Breast_MB"
"IGFBP5","Breast_MB"
"IGFBP6","Breast_MB"
"IGFBP7","Breast_MB"
"IGFLR1","Breast_MB"
"IGLL1","Breast_MB"
"IGLL3P","Breast_MB"
"IL10RA","Breast_MB"
"IL17RB","Breast_MB"
"IL18BP","Breast_MB"
"IL18RAP","Breast_MB"
"IL1R2","Breast_MB"
"IL21R","Breast_MB"
"IL2RB","Breast_MB"
"IL4R","Breast_MB"
"IL6","Breast_MB"
"IL6ST","Breast_MB"
"ILDR1","Breast_MB"
"ILF2","Breast_MB"
"IMPA2","Breast_MB"
"INADL","Breast_MB"
"INPP4B","Breast_MB"
"INSIG1","Breast_MB"
"INSM1","Breast_MB"
"IQCG","Breast_MB"
"IRAK1","Breast_MB"
"IRX2","Breast_MB"
"IRX4","Breast_MB"
"IRX5","Breast_MB"
"ISG20","Breast_MB"
"ISG20L2","Breast_MB"
"ITGB1BP1","Breast_MB"
"ITGB2","Breast_MB"
"ITGB4","Breast_MB"
"ITGB5","Breast_MB"
"ITGB7","Breast_MB"
"ITPK1","Breast_MB"
"IVD","Breast_MB"
"JAKMIP3","Breast_MB"
"JMJD7-PLA2G4B","Breast_MB"
"JSRP1","Breast_MB"
"JUND","Breast_MB"
"JUP","Breast_MB"
"KANSL3","Breast_MB"
"KAT2A","Breast_MB"
"KAT6A","Breast_MB"
"KAT6B","Breast_MB"
"KAZALD1","Breast_MB"
"KCNJ2","Breast_MB"
"KCNK1","Breast_MB"
"KCNK6","Breast_MB"
"KCNMA1","Breast_MB"
"KCNMB4","Breast_MB"
"KCTD14","Breast_MB"
"KCTD3","Breast_MB"
"KCTD5","Breast_MB"
"KDELR2","Breast_MB"
"KDELR3","Breast_MB"
"KDM4B","Breast_MB"
"KIAA0040","Breast_MB"
"KIAA0232","Breast_MB"
"KIAA0319L","Breast_MB"
"KIAA1324","Breast_MB"
"KIAA1324L","Breast_MB"
"KIAA1522","Breast_MB"
"KIAA2013","Breast_MB"
"KIF12","Breast_MB"
"KIF16B","Breast_MB"
"KIF1A","Breast_MB"
"KIF1BP","Breast_MB"
"KIF3B","Breast_MB"
"KIF5C","Breast_MB"
"KIR2DL3","Breast_MB"
"KIR2DL4","Breast_MB"
"KISS1R","Breast_MB"
"KITLG","Breast_MB"
"KLF11","Breast_MB"
"KLHDC3","Breast_MB"
"KLHL24","Breast_MB"
"KLHL35","Breast_MB"
"KLHL6","Breast_MB"
"KLK11","Breast_MB"
"KPNA4","Breast_MB"
"KRT18P55","Breast_MB"
"KRT23","Breast_MB"
"KRT6A","Breast_MB"
"KRT8","Breast_MB"
"KRT86","Breast_MB"
"KYNU","Breast_MB"
"L3HYPDH","Breast_MB"
"LAG3","Breast_MB"
"LALBA","Breast_MB"
"LAMA3","Breast_MB"
"LAMA5","Breast_MB"
"LAMB2","Breast_MB"
"LAMP2","Breast_MB"
"LANCL1","Breast_MB"
"LAPTM4B","Breast_MB"
"LAX1","Breast_MB"
"LBP","Breast_MB"
"LCMT2","Breast_MB"
"LCN12","Breast_MB"
"LCN2","Breast_MB"
"LCT","Breast_MB"
"LDLRAD3","Breast_MB"
"LEO1","Breast_MB"
"LETMD1","Breast_MB"
"LFNG","Breast_MB"
"LGALS1","Breast_MB"
"LGALS3","Breast_MB"
"LGALSL","Breast_MB"
"LGMN","Breast_MB"
"LHFPL2","Breast_MB"
"LILRA5","Breast_MB"
"LIME1","Breast_MB"
"LIMS1","Breast_MB"
"LINC00152","Breast_MB"
"LINC00174","Breast_MB"
"LINC00324","Breast_MB"
"LINC00937","Breast_MB"
"LINC00998","Breast_MB"
"LINC01341","Breast_MB"
"LMLN","Breast_MB"
"LMTK3","Breast_MB"
"LOC113230","Breast_MB"
"LOC146880","Breast_MB"
"LOC153684","Breast_MB"
"LOC402644","Breast_MB"
"LOC606724","Breast_MB"
"LOC613037","Breast_MB"
"LOC728554","Breast_MB"
"LOC93622","Breast_MB"
"LONP2","Breast_MB"
"LONRF2","Breast_MB"
"LPXN","Breast_MB"
"LRBA","Breast_MB"
"LRFN2","Breast_MB"
"LRFN4","Breast_MB"
"LRG1","Breast_MB"
"LRRN2","Breast_MB"
"LSM2","Breast_MB"
"LSM5","Breast_MB"
"LTBR","Breast_MB"
"LUM","Breast_MB"
"LXN","Breast_MB"
"LY6E","Breast_MB"
"LY96","Breast_MB"
"LYAR","Breast_MB"
"LYN","Breast_MB"
"LYPD3","Breast_MB"
"LYPD6","Breast_MB"
"LYPD6B","Breast_MB"
"LYSMD4","Breast_MB"
"MAATS1","Breast_MB"
"MAD2L2","Breast_MB"
"MADD","Breast_MB"
"MAFB","Breast_MB"
"MAGEE1","Breast_MB"
"MAGT1","Breast_MB"
"MAN1C1","Breast_MB"
"MAN2B2","Breast_MB"
"MANBAL","Breast_MB"
"MAOA","Breast_MB"
"MAP2K7","Breast_MB"
"MAP3K6","Breast_MB"
"MAP3K8","Breast_MB"
"MAP4K1","Breast_MB"
"MAPK1","Breast_MB"
"MAPK3","Breast_MB"
"MAPK8IP1","Breast_MB"
"MAPK8IP2","Breast_MB"
"MAPRE3","Breast_MB"
"MAPT","Breast_MB"
"MARCH3","Breast_MB"
"MARCH6","Breast_MB"
"MARCO","Breast_MB"
"MARVELD2","Breast_MB"
"MAST4","Breast_MB"
"MATN3","Breast_MB"
"MBD6","Breast_MB"
"MBNL2","Breast_MB"
"MBOAT2","Breast_MB"
"MBP","Breast_MB"
"MCCC2","Breast_MB"
"MCOLN2","Breast_MB"
"MDK","Breast_MB"
"MDP1","Breast_MB"
"ME2","Breast_MB"
"MED13L","Breast_MB"
"MED16","Breast_MB"
"MED29","Breast_MB"
